Other,Tool,Economic,Connection,Info,Spanish,age,inc,party_lean,marital,educ2,emplnw,hisp,racem1
,1,,,,English,55,99,9,4,3,1,2,2
,,1,,1,English,28,98,1,6,7,7,2,2
,,,,1,English,21,2,2,6,5,4,2,1
,,,,1,English,65,99,3,1,8,1,9,9
,,,,1,English,66,99,2,9,8,3,2,1
1,,,,,English,23,5,2,6,5,1,1,1
,,1,1,1,English,29,7,2,6,6,4,2,1
,,,,1,English,59,5,2,1,8,5,1,1
,,,,1,English,57,8,1,1,7,1,2,1
,,,1,1,English,68,99,2,3,6,3,2,2
,,,1,,English,99,4,1,5,5,5,2,1
,,,,1,English,67,7,1,1,7,3,2,1
,,,,1,English,67,8,1,1,6,1,2,1
,,,1,,English,60,2,1,6,6,2,2,2
,,,,1,English,47,2,4,1,7,1,1,7
,,,,1,English,65,8,1,3,3,1,2,1
,,,1,,English,27,98,2,6,5,2,1,7
,,,,1,English,38,6,1,3,8,1,2,1
,,1,,,English,28,9,2,2,6,1,1,1
,,,,1,English,46,9,2,1,6,1,1,1
,,,1,1,English,29,7,2,1,6,1,2,1
,,,,1,English,61,6,2,1,7,2,2,1
,,,,1,English,61,8,1,1,6,5,2,1
,,,,1,English,29,2,2,6,6,1,2,1
,,,,1,English,53,7,2,1,3,1,2,2
,1,,,,English,30,8,2,1,7,1,2,3
1,,,,,English,47,4,1,1,8,2,2,1
,,,1,1,English,18,98,1,6,3,2,1,1
,,,,1,English,39,8,2,1,6,1,1,1
,,,,1,English,81,4,1,5,3,4,2,1
,,,,1,English,39,9,2,1,6,1,2,1
,,,1,,English,70,7,2,3,8,1,2,2
,,,,1,English,70,6,1,1,6,3,2,1
,,,,1,English,55,7,2,1,6,1,2,1
,1,,,1,English,20,4,8,6,3,4,2,5
,,,,1,English,70,8,2,5,8,3,2,1
,,,1,,English,51,6,4,1,4,2,2,1
,,,,1,English,67,98,3,1,3,3,2,2
,1,,1,1,English,32,5,3,1,3,1,2,1
,,,,1,English,30,98,1,6,6,1,2,1
,,,,1,English,56,9,3,1,8,1,2,1
,,,1,1,English,57,3,2,4,2,1,2,2
