Other,Tool,Economic,Connection,Info,Language,age,inc,party_lean,marital,educ2,emplnw,hisp,racem1,cregion,state,sex,Info,Knowledge,News,Education,Access,Find,Research,Share,Up to Date,Learn,Quantity,Speed,Ease,Quality,Freely,Other
1,,,,,1,50,99,1,9,7,1,2,1,3,37,2,,,,,,,,,,,,,,,,
,,,,1,1,59,8,1,1,3,3,2,1,1,36,1,,,,,,,1,,,,,,,,,
,,,,1,1,33,6,2,1,7,1,2,1,4,30,2,1,,,,1,,,,,,,,,,,1
1,,,,,1,51,9,2,1,6,4,2,1,3,48,2,,,,,,,,,,,,,,,,
,,,1,,1,49,2,2,2,3,6,2,2,1,36,1,,,,,,,,,,,,,,,,
,,,,1,1,24,1,2,6,5,1,2,1,4,6,1,,,,,,1,,,,,,1,1,,,
,,1,,,1,60,9,1,1,4,1,2,1,4,53,1,,,,,,,,,,,,,,,,
,,,,1,1,39,5,2,2,5,1,2,1,3,47,1,1,,,,1,,,,,,,,,,,
,,,1,1,1,24,99,2,6,6,4,2,1,1,36,1,1,,,1,,,,,,,,,,,,
1,,,,,1,36,7,2,1,6,1,2,1,3,48,1,,,,,,,,,,,,,,,,
,,,,1,1,58,8,2,1,6,1,2,1,3,51,1,1,,,,,,,,,,,,,,,
,,,,1,1,61,99,9,1,5,1,2,1,2,38,1,1,,,,,,,,,,,,,,,
,,,,1,1,28,4,2,6,4,1,2,1,3,48,2,,1,,,1,,,1,,,,,,,,
,,,,1,1,65,4,3,1,5,3,2,1,2,29,2,1,,,,1,,,,,,,,,,,
,,,1,1,1,65,7,2,1,6,1,2,1,3,12,2,1,,,,,,,,,,,1,,,,
,,,,1,1,46,8,2,1,6,1,2,1,4,41,1,1,,,,1,,,,,,,,,,,
,,,1,,1,23,2,3,6,3,1,2,2,2,46,1,,,,,,,,,,,,,,,,
,,,1,,1,62,5,2,3,6,1,2,1,3,13,1,,,,,,,,,,,,,,,,
,,,1,,1,27,4,2,6,6,1,2,1,2,27,2,,,,,,,,,,,,,,,,
,,,,1,1,75,99,2,1,7,2,2,1,4,53,1,1,,,,1,,,,,,,,,,,
,,,1,1,1,42,9,2,1,8,1,2,1,4,2,2,,,,1,,,,,,,1,,,,,1
,,,1,,1,53,9,1,1,6,1,2,2,3,12,1,,,,,,,,,,,,,,,,
,,,,1,1,24,3,1,1,2,1,2,1,2,29,1,1,,,,,,,,,,,,,,,
,,,,1,1,37,8,1,1,8,1,2,1,3,13,1,,,1,1,,,,,,,,,,,,
1,,,,,1,27,4,2,5,5,1,1,2,3,12,2,,,,,,,,,,,,,,,,
,1,,,1,1,25,3,3,6,3,1,2,1,2,31,1,,,1,,,1,,,1,,,,,,,1
,,,,1,1,21,7,2,6,6,7,2,1,1,42,2,,,,1,,,,,,,,,,,,
,,,,1,1,36,2,2,6,7,1,2,2,3,24,2,1,,,,1,,,,1,,,,,,,
,,,,1,1,46,6,1,2,3,4,2,1,3,12,1,1,,,,,,,,,,,,1,,,
,,,,1,1,51,3,3,3,3,1,2,2,3,11,1,1,,,,,,,,,,,,,,,1
,,,,1,1,42,8,2,1,6,1,2,2,3,45,1,1,,,,1,,,,,,,1,,,,
,,,1,,1,19,8,3,6,3,1,2,2,1,25,1,,,,,,,,,,,,,,,,
,1,,,1,1,61,3,2,1,4,6,2,1,3,48,2,1,,,,1,,,,,,,,,,,
,1,,1,1,1,63,99,3,6,7,1,8,9,4,6,1,,,,1,,1,,,,,,,,,,
,,,1,1,1,65,99,2,2,6,3,2,1,3,51,1,1,,,,1,,,,,,,,,,,
,,,,1,1,51,6,1,1,3,1,2,9,3,37,1,,,,,,,1,,,,,1,,,,1
1,,,,,1,18,8,2,6,3,2,2,1,3,37,2,,,,,,,,,,,,,,,,
,,,1,,1,20,9,1,6,4,1,1,1,2,19,1,,,,,,,,,,,,,,,,
,,,1,1,1,36,9,2,1,6,1,2,3,3,47,1,,1,,,,,,1,,,,,,,,
,,,,1,1,44,9,2,1,6,1,2,1,1,25,2,1,,,,1,,,,,,,,,,,
,,,,1,1,65,8,2,5,6,3,2,1,3,40,1,1,,,,1,,,,,,,,,,,1
,,,,1,1,54,99,2,6,7,2,2,3,1,42,2,1,,,,1,,,,,,,,,,,1
,,,,1,1,46,5,1,2,4,1,2,1,3,48,1,1,,,,,,,1,,,,1,,,,
